Species,H1,H3,H5,H9,H10,H11,H14,H15,H17,H18,H19,H20,H21,H22,H24,H25,H26,H29,H31,H32,H33,H35,H37,H38,H39,H40,H41,H42,H44,H46,D1,D4,D5,D6,D8,D12,D13,D15,D16,D18,D19,D21,D27,D28,D29,D30,D32,D34,D36,D39,D40,D42,D43,D44,D45,D46,D48,D49,D50,D51
Faecalibacterium prausnitzii,4.382310299,13.44688746,3.602268294,4.514630713,11.06524959,12.00636043,16.09963812,28.63720517,24.18690915,15.60438386,38.90949519,8.410095294,8.4766795,9.10368952,8.731387603,5.477173584,0.623294333,31.54174968,20.23649718,5.731908709,9.968070693,28.96279659,20.26934956,11.61272029,0.508122225,8.232121904,0.242287087,6.847371806,0.026716851,0.103652281,14.44974383,5.054150521,10.06597618,15.5859554,0.78298026,0.807224117,20.74791064,5.120909392,0.115970367,0.356980715,4.086552723,7.203376621,9.978468198,12.11085704,0.175941182,11.62227134,10.6011191,4.395316833,8.109804919,10.04693717,7.776981249,4.164354862,5.714066326,8.336126295,2.497217057,3.855445928,8.228330172,3.818581933,0.174848489,1.236798934
Phascolarctobacterium sp. CAG:207,8.344985628,0.073031689,1.02990325,0.684394805,4.409297979,5.051698987,0.013341354,0.972412406,2.657750068,1.525880767,3.308565999,1.108018934,0.042852723,0.004242756,6.950290191,0.047030174,2.539277982,0.010781966,0.477265553,2.019153251,5.541271271,0.049089527,2.131831371,1.153109978,0.000188188,0.12033743,0.006521582,0.181371131,0.011825228,0.001222082,3.408270387,0.014335699,0.226040786,0.169951737,0.001660375,0.458369877,1.271248613,0.004509605,0.461837018,1.521874552,0.00398439,0.676470266,0.013988895,1.900287715,0.00651636,1.921976663,0.000990139,0.000337762,0.073989322,0.000256429,0.00025458,0.001401666,0.656169074,0.105508195,0.000447358,0.807027734,0.294548127,1.948879326,0.003235987,1.491022523
Clostridium sp. CAG:43,0.891931178,0.074983044,0.04351305,0.908123912,0.211578082,2.253144493,0.731902995,0.036484969,1.239552705,1.145689115,2.234095611,0.27537562,0.291674241,0.92900849,0.391126659,0.948569605,0.01159529,0.413992907,0.321787685,1.308236627,0.935761892,0.283151446,0.015010187,0.535352945,0.003305063,0.011219847,0.026101428,0.757715803,0.000334124,0.000682779,0.003782992,0.282055534,1.48225591,0.432424139,0.005098641,0.008632761,0.024572221,0.052894199,0.985790162,0.005228474,1.057262684,0.243355211,0.254147232,0.258736185,0.013254132,0.310732669,0.211165406,0.138905335,0.006848129,0.136724017,0.00012812,0.004250558,0.507549491,0.039271042,0.027761659,0.352929995,0.278358318,0.200203436,0.005433186,0.047755815
Eubacterium sp. CAG:38,1.157922766,0.194848777,0.008100819,0.047297343,0.004983071,0.061645389,0.038770505,0.057763524,1.445636823,0.012454757,0.118450067,0.153602984,0.12028611,1.957517457,0.040388056,0.089469598,0.007235601,0.045685578,0.047638647,8.957778151,0.026897097,0.137937717,0.730733123,0.022167458,0.268225463,0.021981706,0.028335346,0.639988031,0.000740127,0,0.00065668,0.123641948,0.013402607,0.021954105,0.01044095,0.988704368,0.009835193,0.015832259,0.043921402,0.012992093,0.022836525,0.038891187,0.055106706,0.038540663,0.00197158,0.013879482,0.168759567,0.052829076,0.003827816,0.031438762,0,0.339391098,0.067506702,0.101333531,0.009175317,0.038612239,0.029765056,0.007802395,0.000962134,0.017827464
Clostridium sp. CAG:7,0.833979475,0.114478166,0.053957737,0.381355613,0.296495962,8.712028281,0.490502821,1.969510678,0.03226114,0.750481338,2.830690843,0.455709704,0.213606877,1.164825486,0.46148617,0.514774708,0.021340021,0.282068555,0.249303452,10.85455337,0.478230512,0.429017314,0.243321853,1.751513197,0.034507783,0.097959905,0.014019673,0.307779493,0.001244984,0.00597297,0.137043402,0.058784001,0.251383822,2.284653212,0.011624336,0.035270119,0.11350072,0.037075344,1.010822414,0.168826706,0.170440891,0.058882122,0.360327414,0.818740159,0.038578739,0.040703403,0.232885413,0.057175859,0.043487302,2.468740923,0.000444869,0.031159977,0.0327942,0.019459836,2.084364429,0.382757764,0.153124927,0.59726152,0.020282688,0.060351525
Escherichia coli,0.894378927,0.051668032,3.604079366,1.030164131,0.587242484,5.262083307,0.051680635,0.019688516,0.056442421,0.307767154,0.030882862,0.057414906,0.116367787,0.527769345,5.468290418,0.140718837,19.7636359,0.049619639,14.69979373,0.389653034,1.046396438,0.045136359,0.118403681,2.096436608,0.295152401,8.597298855,7.553463742,0.019850407,28.21750136,24.12300527,4.250317524,1.159463102,0.604889134,0.032219055,36.6157595,2.455766083,22.71192487,0.149157888,10.11674865,10.2658786,0.50028806,0.337287604,0.440501151,2.617808314,14.73315305,29.71770877,0.154085098,21.55824811,49.34478411,2.954679353,13.79811148,0.804633606,0.151507313,19.96660741,18.1929268,0.011174294,0.474509572,10.14496939,1.282104133,0.11995782
Ruminococcus gnavus,0.191425501,0.027014966,0.028717921,0.660201036,0.05326563,0.071764315,0.054539658,0.161912834,0.084261091,0.127370377,0.058342266,0.073597732,0.047966789,0.046811128,0.111379604,0.033191203,0.119375934,0.028500055,0.036335463,0.143723243,0.089484128,0.045258289,0.082492109,3.413364492,0.015685294,0.115259372,0.0027165,0.092803254,0.001603571,1.957166051,1.422217792,0.482484832,0.126669002,0.063537371,0.684601983,0.038439951,0.035991556,0.138497443,0.974016125,0.147027799,0.175786151,0.091059379,0.038512542,0.089607214,1.154324019,0.132458208,0.080018439,0.117864603,0.813655273,0.121774871,0.000177315,0.362297653,0.373805783,0.191639224,0.075661237,0.035016984,0.046971609,0.307305084,2.708460283,0.025337896
Shigella sonnei,0.038079832,0.001502019,0.124478103,0.036444819,0.016642381,0.233487792,0.001885091,0.000790005,0.001383329,0.002170085,5.35E-05,0.000361286,0.004741724,0.020346579,0.212327628,0.006099019,0.735467793,0.00195911,0.609729039,0.018113658,0.029459253,0.000745163,0.004938445,0.077431106,0.014481446,0.308391837,0.301556743,0.000587024,0.161838399,0.777108006,0.153395854,0.04439133,0.024399611,0.001323421,1.298254464,0.120866169,1.030968122,0.005293587,0.463245981,0.355824345,0.011127675,0.01143601,0.017528166,0.089426578,0.479220209,1.377181322,0.005823766,0.946753589,2.201393591,0.101170252,0.585865543,0.032733582,0.005204834,0.870825659,0.791224912,0.000356111,0.02056661,0.025554135,0.044802715,0.003276585
Salmonella enterica,0.021438816,0.003717985,0.048882842,0.026784054,0.008488083,0.095836271,0.001461991,0.000512644,0.001036625,0.001923944,0.000694486,0.000753844,0.00857029,0.021277494,0.100452351,0.01153966,0.413203809,0.001677017,0.39601094,0.104038926,0.024324202,0.000495593,0.001722236,0.052263508,0.005205625,0.170676321,0.225409404,0.005060545,0.0728359,0.385141055,0.064940297,0.022179511,0.010699549,0.000963703,0.501714144,0.049449598,0.423267345,0.007905654,0.403646109,0.147946807,0.050896191,0.005464998,0.017573751,0.060774687,0.49807533,1.031782033,0.004113741,0.382714265,0.797008172,0.046382537,0.226997521,0.022276461,0.00301966,0.361255059,0.333858622,0.000633695,0.139080526,1.676368701,0.023133256,0.004286345
Shigella dysenteriae,0.009620225,0.000242134,0.031853397,0.008004012,0.005027531,0.074231601,0.000555542,0.000220399,0.000198273,0.000542715,1.16E-05,7.81E-05,0.001288134,0.005809001,0.058947718,0.00180358,0.1898405,0.000554763,0.191984412,0.002515568,0.007214686,0.000151381,0.000912339,0.021012555,0.002849249,0.077047201,0.08027508,6.38E-05,0.041149418,0.266706044,0.045769051,0.013276506,0.007749659,0.000353803,0.32048939,0.021181708,0.188347258,0.001383569,0.10855901,0.096212667,0.002804741,0.002466651,0.004762226,0.019682992,0.13922059,0.333354967,0.00133857,0.253116024,0.500905198,0.028088707,0.143491104,0.009262945,0.001367123,0.232538529,0.186062381,0.00015202,0.004638302,0.005952093,0.011379917,0.000761746
